het,	aob,	eps,	dead,	
1800,	2.891984e-14,	3.803939e-15,	7.853982e-23,	7.853982e-23,	
1900,	3.271583e-14,	3.844587e-15,	7.853982e-23,	7.853982e-23,	
2000,	3.701016e-14,	3.885669e-15,	7.853982e-23,	7.853982e-23,	
het,	aob,	eps,	dead,	
het,	aob,	eps,	dead,	
100,	3.553934e-15,	3.175161e-15,	7.853982e-23,	7.853982e-23,	
200,	4.020367e-15,	3.209086e-15,	7.853982e-23,	7.853982e-23,	
300,	4.548019e-15,	3.243374e-15,	7.853982e-23,	7.853982e-23,	
400,	5.144922e-15,	3.278028e-15,	7.853982e-23,	7.853982e-23,	
500,	5.820167e-15,	3.313052e-15,	7.853982e-23,	7.853982e-23,	
600,	6.584036e-15,	3.348451e-15,	7.853982e-23,	7.853982e-23,	
700,	7.448160e-15,	3.384228e-15,	7.853982e-23,	7.853982e-23,	
800,	8.425699e-15,	3.420387e-15,	7.853982e-23,	7.853982e-23,	
900,	9.531536e-15,	3.456933e-15,	7.853982e-23,	7.853982e-23,	
1000,	1.078252e-14,	3.493869e-15,	7.853982e-23,	7.853982e-23,	
1100,	1.219770e-14,	3.531200e-15,	7.853982e-23,	7.853982e-23,	
1200,	1.379864e-14,	3.568931e-15,	7.853982e-23,	7.853982e-23,	
1300,	1.560971e-14,	3.607065e-15,	7.853982e-23,	7.853982e-23,	
1400,	1.765851e-14,	3.645606e-15,	7.853982e-23,	7.853982e-23,	
1500,	1.997624e-14,	3.684560e-15,	7.853982e-23,	7.853982e-23,	
1600,	2.259820e-14,	3.723931e-15,	7.853982e-23,	7.853982e-23,	
1700,	2.556433e-14,	3.763722e-15,	7.853982e-23,	7.853982e-23,	
1800,	2.891984e-14,	3.803939e-15,	7.853982e-23,	7.853982e-23,	
1900,	3.271583e-14,	3.844587e-15,	7.853982e-23,	7.853982e-23,	
2000,	3.701016e-14,	3.885669e-15,	7.853982e-23,	7.853982e-23,	
2100,	4.186823e-14,	3.927191e-15,	7.853982e-23,	7.853982e-23,	
2200,	4.736409e-14,	3.969158e-15,	7.853982e-23,	7.853982e-23,	
2300,	5.358144e-14,	4.011573e-15,	7.853982e-23,	7.853982e-23,	
2400,	6.061502e-14,	4.054443e-15,	7.853982e-23,	7.853982e-23,	
2500,	6.857201e-14,	4.097772e-15,	7.853982e-23,	7.853982e-23,	
2600,	7.757407e-14,	4.141566e-15,	7.853982e-23,	7.853982e-23,	
2700,	8.775814e-14,	4.185830e-15,	7.853982e-23,	7.853982e-23,	
2800,	9.927929e-14,	4.230568e-15,	7.853982e-23,	7.853982e-23,	
2900,	1.123132e-13,	4.275785e-15,	7.853982e-23,	7.853982e-23,	
3000,	1.270584e-13,	4.321487e-15,	7.853982e-23,	7.853982e-23,	
3100,	1.437397e-13,	4.367679e-15,	7.853982e-23,	7.853982e-23,	
3200,	1.626112e-13,	4.414366e-15,	7.853982e-23,	7.853982e-23,	
3300,	1.839605e-13,	4.461555e-15,	7.853982e-23,	7.853982e-23,	
3400,	2.081129e-13,	4.509250e-15,	7.853982e-23,	7.853982e-23,	
