Total,het,aob,
355710,6.076329e-11,5.517520e-11,5.588086e-12,
360720,6.076329e-11,5.517520e-11,5.588086e-12,
365730,6.076329e-11,5.517520e-11,5.588086e-12,
370740,6.076329e-11,5.517520e-11,5.588086e-12,
375750,6.076329e-11,5.517520e-11,5.588086e-12,
380760,6.076329e-11,5.517520e-11,5.588086e-12,
385770,6.076329e-11,5.517520e-11,5.588086e-12,
390780,6.076329e-11,5.517520e-11,5.588086e-12,
395790,6.076329e-11,5.517520e-11,5.588086e-12,
400800,6.076329e-11,5.517520e-11,5.588086e-12,
405810,6.076329e-11,5.517520e-11,5.588086e-12,
410820,6.076329e-11,5.517520e-11,5.588086e-12,
415830,6.076329e-11,5.517520e-11,5.588086e-12,
420840,6.076329e-11,5.517520e-11,5.588086e-12,
425850,6.076329e-11,5.517520e-11,5.588086e-12,
430860,6.076329e-11,5.517520e-11,5.588086e-12,
435870,6.076329e-11,5.517520e-11,5.588086e-12,
440880,6.076329e-11,5.517520e-11,5.588086e-12,
445890,6.076329e-11,5.517520e-11,5.588086e-12,
450900,6.076329e-11,5.517520e-11,5.588086e-12,
455910,6.076329e-11,5.517520e-11,5.588086e-12,
460920,6.076329e-11,5.517520e-11,5.588086e-12,
465930,6.076329e-11,5.517520e-11,5.588086e-12,
470940,6.076329e-11,5.517520e-11,5.588086e-12,
475950,6.076329e-11,5.517520e-11,5.588086e-12,
480960,6.076329e-11,5.517520e-11,5.588086e-12,
485970,6.076329e-11,5.517520e-11,5.588086e-12,
490980,6.076329e-11,5.517520e-11,5.588086e-12,
495990,6.076329e-11,5.517520e-11,5.588086e-12,
501000,6.076329e-11,5.517520e-11,5.588086e-12,
506010,6.076329e-11,5.517520e-11,5.588086e-12,
511020,6.076329e-11,5.517520e-11,5.588086e-12,
516030,6.076329e-11,5.517520e-11,5.588086e-12,
521040,6.076329e-11,5.517520e-11,5.588086e-12,
526050,6.076329e-11,5.517520e-11,5.588086e-12,
531060,6.076329e-11,5.517520e-11,5.588086e-12,
536070,6.076329e-11,5.517520e-11,5.588086e-12,
541080,6.076329e-11,5.517520e-11,5.588086e-12,
546090,6.076329e-11,5.517520e-11,5.588086e-12,
551100,6.076329e-11,5.517520e-11,5.588086e-12,
556110,6.076329e-11,5.517520e-11,5.588086e-12,
561120,6.076329e-11,5.517520e-11,5.588086e-12,
566130,6.076329e-11,5.517520e-11,5.588086e-12,
