aob	eps	comm	
1.794484e-16	1.667348e-16	1.712498e-16	
1.795974e-16	1.667872e-16	1.713785e-16	
1.797735e-16	1.667705e-16	1.715064e-16	
1.799228e-16	1.668230e-16	1.716353e-16	
1.800992e-16	1.668063e-16	1.717634e-16	
1.802487e-16	1.668589e-16	1.718924e-16	
1.804256e-16	1.733030e-16	1.720207e-16	
1.805753e-16	1.733549e-16	1.721500e-16	
1.807524e-16	1.733376e-16	1.722784e-16	
1.809025e-16	1.733896e-16	1.724079e-16	
1.810799e-16	1.733722e-16	1.725365e-16	
1.812302e-16	1.734243e-16	1.726662e-16	
1.814080e-16	1.734069e-16	1.727950e-16	
1.815586e-16	1.734590e-16	1.729248e-16	
1.817367e-16	1.734416e-16	1.730539e-16	
1.818875e-16	1.734937e-16	1.731839e-16	
1.820659e-16	1.734764e-16	1.733132e-16	
1.822170e-16	1.735285e-16	1.734434e-16	
1.823958e-16	1.735112e-16	1.735728e-16	
1.825472e-16	1.735634e-16	1.737032e-16	
1.827262e-16	1.735460e-16	1.738328e-16	
1.828779e-16	1.735982e-16	1.739634e-16	
1.830573e-16	1.774089e-16	1.740933e-16	
1.832092e-16	1.774608e-16	1.742241e-16	
1.833889e-16	1.774430e-16	1.743541e-16	
1.835411e-16	1.774950e-16	1.744851e-16	
1.837212e-16	1.774772e-16	1.746153e-16	
1.838737e-16	1.775292e-16	1.747465e-16	
1.840540e-16	1.775115e-16	1.748769e-16	
1.842068e-16	1.775635e-16	1.750082e-16	
1.843875e-16	1.775457e-16	1.751388e-16	
1.845405e-16	1.775978e-16	1.752704e-16	
1.847215e-16	1.775801e-16	1.754012e-16	
1.848748e-16	1.776322e-16	1.755330e-16	
1.850562e-16	1.776144e-16	1.756640e-16	
1.852098e-16	1.776666e-16	1.757959e-16	
1.853914e-16	1.776488e-16	1.759271e-16	
1.855453e-16	1.777011e-16	1.760593e-16	
1.857273e-16	1.776833e-16	1.761907e-16	
1.858814e-16	1.777356e-16	1.763230e-16	
1.860638e-16	1.777178e-16	1.764546e-16	
1.862182e-16	1.777701e-16	1.765872e-16	
1.864008e-16	1.777523e-16	1.767189e-16	
1.865555e-16	1.778047e-16	1.768517e-16	
1.867385e-16	1.777869e-16	1.769837e-16	
1.868935e-16	1.778393e-16	1.771166e-16	
1.870768e-16	1.778215e-16	1.772488e-16	
1.872321e-16	1.778740e-16	1.773819e-16	
1.874157e-16	1.778562e-16	1.775143e-16	
1.875713e-16	1.779087e-16	1.776476e-16	
1.877553e-16	1.778909e-16	1.777802e-16	
1.879111e-16	1.779434e-16	1.779138e-16	
1.880954e-16	1.779256e-16	1.780465e-16	
1.882515e-16	1.779782e-16	1.781803e-16	
1.884361e-16	1.779604e-16	1.783132e-16	
1.885925e-16	1.780130e-16	1.784472e-16	
1.887775e-16	1.779952e-16	1.785803e-16	
1.889341e-16	1.780479e-16	1.787145e-16	
1.891195e-16	1.780301e-16	1.788478e-16	
1.892764e-16	1.780828e-16	1.789822e-16	
1.894621e-16	1.780650e-16	1.791157e-16	
1.896193e-16	1.781178e-16	1.792503e-16	
1.898053e-16	1.780999e-16	1.793840e-16	
1.899628e-16	1.781528e-16	1.795188e-16	
1.901491e-16	1.781349e-16	1.796527e-16	
1.903069e-16	1.781878e-16	1.797877e-16	
1.904936e-16	1.781700e-16	1.799218e-16	
1.906516e-16	1.782229e-16	1.800570e-16	
1.908386e-16	1.782050e-16	1.801913e-16	
1.909970e-16	1.782580e-16	1.803267e-16	
1.911843e-16	1.835283e-16	1.804612e-16	
1.913430e-16	1.835808e-16	1.805968e-16	
1.915307e-16	1.835624e-16	1.807315e-16	
1.916896e-16	1.836150e-16	1.808673e-16	
1.918776e-16	1.835966e-16	1.810022e-16	
1.920368e-16	1.836491e-16	1.811382e-16	
1.922252e-16	1.836308e-16	1.812733e-16	
1.923847e-16	1.836834e-16	1.814095e-16	
1.925734e-16	1.836650e-16	1.815449e-16	
1.927332e-16	1.837176e-16	1.816812e-16	
1.929222e-16	1.836993e-16	1.818168e-16	
1.930823e-16	1.837520e-16	1.819533e-16	
1.932717e-16	1.837336e-16	1.820891e-16	
1.934320e-16	1.837863e-16	1.822259e-16	
1.936218e-16	1.837679e-16	1.823618e-16	
1.937824e-16	1.838207e-16	1.824988e-16	
1.939725e-16	1.894937e-16	1.826350e-16	
1.941334e-16	1.895460e-16	1.827722e-16	
1.943239e-16	1.895270e-16	1.829085e-16	
1.944851e-16	1.895794e-16	1.830459e-16	
1.946759e-16	1.895604e-16	1.831825e-16	
1.948374e-16	1.896128e-16	1.833201e-16	
1.950285e-16	1.895938e-16	1.834568e-16	
