sub,o2,nh4,no2,no3,
45090,1.973254e-05,1.000000e-05,2.921540e-06,1.000000e-07,1.000000e-07,
50100,1.783304e-05,1.000000e-05,2.779167e-06,1.000000e-07,1.000000e-07,
55110,1.571577e-05,1.000000e-05,2.639197e-06,1.000000e-07,1.000000e-07,
60120,1.346546e-05,1.000000e-05,2.503381e-06,1.000000e-07,1.000000e-07,
65130,1.124499e-05,1.000000e-05,2.373124e-06,1.000000e-07,1.000000e-07,
70140,9.265835e-06,1.000000e-05,2.245347e-06,1.000000e-07,1.000000e-07,
75150,7.785212e-06,1.000000e-05,2.125256e-06,1.000000e-07,1.000000e-07,
80160,6.825737e-06,1.000000e-05,2.014589e-06,1.000000e-07,1.000000e-07,
85170,6.246262e-06,1.000000e-05,1.916419e-06,1.000000e-07,1.000000e-07,
90180,5.863556e-06,1.000000e-05,1.824384e-06,1.000000e-07,1.000000e-07,
95190,5.617370e-06,1.000000e-05,1.741634e-06,1.000000e-07,1.000000e-07,
100200,5.476697e-06,1.000000e-05,1.667889e-06,1.000000e-07,1.000000e-07,
105210,5.327432e-06,1.000000e-05,1.601041e-06,1.000000e-07,1.000000e-07,
110220,5.302977e-06,1.000000e-05,1.549874e-06,1.000000e-07,1.000000e-07,
115230,5.111629e-06,1.000000e-05,1.493265e-06,1.000000e-07,1.000000e-07,
120240,5.222637e-06,1.000000e-05,1.458931e-06,1.000000e-07,1.000000e-07,
125250,4.913202e-06,1.000000e-05,1.405745e-06,1.000000e-07,1.000000e-07,
130260,5.072562e-06,1.000000e-05,1.380099e-06,1.000000e-07,1.000000e-07,
135270,5.036754e-06,1.000000e-05,1.355089e-06,1.000000e-07,1.000000e-07,
140280,5.030326e-06,1.000000e-05,1.330313e-06,1.000000e-07,1.000000e-07,
145290,4.976544e-06,1.000000e-05,1.306341e-06,1.000000e-07,1.000000e-07,
