"nh3" "no2" "no3" "o2" "co2" "Biomass" "nparticle" "Height" "Roughness"
0.002629 0.000979 0.001454 0.0002089998 0.005755 2.81728e-14 237.4 1.83360289616912e-06 5.58587792013604e-07
0.0012 0.002225 0.001429 0.0001429999 0.007418 2.53571556e-14 204.6 1.67145336368526e-06 4.82708529517382e-07
0.001097 0.001218 0.0005580001 0.0004189998 0.007286 2.7649972e-14 234.4 1.81132028624081e-06 5.45045391429766e-07
0.002834 0.001472 0.0005320001 0.0002019998 0.007367 2.8526985e-14 243.4 1.84381690432069e-06 5.61079199524263e-07
0.001109 0.00084 0.0008470001 0.0001619999 0.004689 2.490892e-14 197.8 1.65214033483483e-06 5.1239222733431e-07
0.002199 0.00213 0.001065 0.0003519998 0.004353 2.9963364e-14 263 1.90629076153277e-06 5.20845286028308e-07
0.001257 0.001853 0.00147 0.0003379998 0.00305 3.3454593e-14 306 2.04790717293081e-06 5.52679965126283e-07
0.00165 0.001365 0.0008560001 0.0002989998 0.004112 3.39359626e-14 308.4 2.05487153740038e-06 5.47459473472112e-07
0.001291 0.001072 0.001481 0.0001689998 0.002635 3.0311306e-14 269.2 1.96320539183246e-06 5.49484573030818e-07
0.00295 0.00112 0.001191 0.0003849998 0.002858 3.650439e-14 321.6 2.07104761060149e-06 5.39804014382219e-07
0.002715 0.002244 0.001217 0.0002309998 0.007042 3.5040367e-14 315.8 2.08842750270368e-06 5.65309464894273e-07
0.002899 0.000795 0.0006700001 0.0001519998 0.004632 3.2104117e-14 279 1.97322409029643e-06 5.85294367699109e-07
0.001142 0.002157 0.0006850001 0.0003269998 0.006304 3.3015619e-14 303.8 2.06145403746484e-06 5.00197953369622e-07
0.001021 0.001238 0.001371 0.0002659998 0.006726 3.11630002e-14 284.2 1.99620563900142e-06 5.43946000700246e-07
0.002986 0.002047 0.001161 0.0001569998 0.003052 3.31706184e-14 297.4 2.03492194066395e-06 5.47741623239606e-07
0.001306 0.002009 0.0006470001 0.0001869998 0.003576 3.1390303e-14 288 1.9967317348123e-06 5.43109743562621e-07
0.002565 0.000967 0.0005050001 0.0003359998 0.002954 3.5474167e-14 313.2 2.04800043179995e-06 5.45175424205704e-07
0.00101 0.002169 0.001493 0.0001659998 0.002785 2.9700088e-14 263.8 1.91570266723771e-06 5.10842750598911e-07
0.00153 0.000913 0.001352 0.0003609998 0.002743 3.3717087e-14 304 2.04239082192129e-06 5.57844294359535e-07
0.002629 0.000979 0.001454 0.0002089998 0.005755 3.36852904e-14 298.2 2.04678324064389e-06 5.4842547751779e-07
0.0012 0.002225 0.001429 0.0001429998 0.007418 2.9749755e-14 263.6 1.9338212274024e-06 5.28655883269905e-07
0.001097 0.001218 0.0005580001 0.0004189998 0.007286 3.2860971e-14 300.8 2.05097414302419e-06 5.35351658987495e-07
0.002834 0.001472 0.0005320001 0.0002019998 0.007367 3.4135724e-14 305.4 2.06584894706849e-06 5.42675361442779e-07
0.001109 0.00084 0.0008470001 0.0001619998 0.004689 2.9204198e-14 252.4 1.89246926744313e-06 5.75354039345476e-07
0.002199 0.00213 0.001065 0.0003519998 0.004353 3.6049793e-14 323.2 2.0820983914367e-06 5.35674397676033e-07
0.001257 0.001853 0.00147 0.0003379997 0.00305 4.3726107e-14 362.8 2.2143676452698e-06 5.89687249628577e-07
0.00165 0.001365 0.0008560002 0.0002989997 0.004112 4.45944724e-14 375.2 2.25837392673684e-06 5.96728093234515e-07
