"nh3" "no2" "no3" "o2" "co2" "Biomass" "nparticle" "Height" "Roughness"
0.002366 0.001095 0.001278 0.000378 0.003995 1.4832425e-14 120 1.12003936753328e-06 3.31864063187731e-07
0.001499 0.001647 0.001184 0.000325 0.003181 1.4620389e-14 113.8 1.07812533333333e-06 2.84006981672986e-07
0.001891 0.001053 0.00077 0.000342 0.004478 1.4658608e-14 116.4 1.10135025e-06 3.0402845622774e-07
0.002416 0.001895 0.001073 0.00022 0.005089 1.4639719e-14 115.2 1.09142033611111e-06 2.96681836295662e-07
0.002107 0.001674 0.000924 0.000278 0.004594 1.4718798e-14 116.2 1.100085125e-06 3.05251349248512e-07
0.001459 0.001313 0.001157 0.000334 0.005048 1.4557839e-14 113.8 1.07774883888889e-06 2.83356200924135e-07
0.001782 0.001163 0.001231 0.000284 0.006204 1.4550303e-14 114.4 1.08224528055556e-06 2.89625295385719e-07
0.002146 0.002144 0.00083 0.000307 0.00657 1.4846495e-14 116.4 1.09282504722222e-06 3.1363724772209e-07
0.002485 0.001213 0.000806 0.000198 0.005596 1.4464325e-14 114.4 1.08549044166667e-06 2.91621632563651e-07
0.002843 0.00208 0.000771 0.0003559999 0.006149 1.5049056e-14 121 1.12856819949354e-06 3.41929101400952e-07
0.001617 0.00127 0.001314 0.000195 0.006512 1.4255786e-14 112.4 1.07924441944444e-06 2.70900938482107e-07
0.001994 0.001931 0.00066 0.000238 0.003514 1.4615801e-14 114.4 1.08265430555556e-06 2.89623610873504e-07
0.002603 0.002027 0.001399 0.000217 0.003455 1.4672758e-14 115.4 1.09448523055556e-06 2.98820519647793e-07
0.002587 0.001369 0.000613 0.000288 0.006075 1.4782063e-14 118.4 1.10828141460062e-06 3.2718546207927e-07
0.002385 0.001248 0.001208 0.000321 0.006859 1.4787498e-14 118.6 1.10974349437048e-06 3.26970901265282e-07
0.001687 0.001628 0.00123 0.000229 0.004282 1.446168e-14 113.6 1.07546993055556e-06 2.80159534253276e-07
0.002556 0.001134 0.001049 0.000365 0.004723 1.4859141e-14 120.2 1.12253519625539e-06 3.32585726800978e-07
0.001587 0.002063 0.001148 0.000211 0.003298 1.4414377e-14 112.2 1.07928668055556e-06 2.70672140167516e-07
0.002231 0.001487 0.001037 0.000172 0.003374 1.43468834e-14 113.4 1.07738426388889e-06 2.81624691142323e-07
0.001723 0.001301 0.000861 0.000214 0.005544 1.4369192e-14 113.2 1.0762042e-06 2.81057568621262e-07
0.001357 0.001531 0.001433 0.000373 0.005989 1.4608727e-14 113.8 1.07806729722222e-06 2.83998284670768e-07
0.001382 0.001279 0.001008 0.00035 0.006845 1.453895e-14 113.8 1.07764640833333e-06 2.83344853208278e-07
0.002912 0.001817 0.001178 0.000176 0.005619 1.4513016e-14 114.2 1.08413032222222e-06 2.89122001151158e-07
0.001768 0.001345 0.000609 0.000244 0.002905 1.4486565e-14 113.8 1.07731065e-06 2.83330772983074e-07
0.001919 0.001986 0.001267 0.00032 0.00626 1.4798967e-14 116.4 1.102181625e-06 3.04605678605718e-07
0.002789 0.001447 0.001389 0.000205 0.004419 1.4580158e-14 115.4 1.09450435555556e-06 3.00150312388838e-07
0.002097 0.001586 0.000916 0.000409 0.004321 1.4921597e-14 119.2 1.11386536073435e-06 3.27383003374521e-07
