"Biomass" "nparticle" "Height" "Roughness"
1.4136674e-17 0.1596 7.22453317384508e-10 2.16088873700139e-10
1.197098e-17 0.094 4.188837845644e-10 1.96962216624098e-10
1.34546728e-17 0.138 6.44466470502695e-10 2.41453439642799e-10
1.4642922e-17 0.1728 7.24147287152659e-10 1.90679459361092e-10
1.35391032e-17 0.1524 7.10794624200913e-10 1.56248351571072e-10
1.2786898e-17 0.128 5.8424958092807e-10 1.36852990535124e-10
1.228266e-17 0.1168 5.15569276170772e-10 1.01774638274927e-10
1.30815332e-17 0.1388 6.50859721156856e-10 1.87360711518698e-10
1.3856484e-17 0.15 7.13444146379037e-10 2.24022688164124e-10
1.3198172e-17 0.1332 6.05325810273479e-10 2.0626895109478e-10
1.30555704e-17 0.134 6.01610776259657e-10 1.08581471605882e-10
1.2650988e-17 0.1144 5.82133383610112e-10 2.24663349112587e-10
1.1721424e-17 0.0892 4.78562536036036e-10 1.61525797820808e-10
1.4401672e-17 0.17 7.19277203799005e-10 1.67651434818769e-10
1.2321602e-17 0.1084 5.15746957829446e-10 2.00897005950104e-10
1.0466212e-17 0.0576 3.0360830946563e-10 9.75631216597102e-11
1.1518026e-17 0.0796 4.34240720438932e-10 1.75912243679435e-10
1.1713728e-17 0.0896 4.58501136994529e-10 1.95916198366941e-10
1.14065108e-17 0.0776 4.25674364082274e-10 1.66438876771605e-10
1.3043034e-17 0.1348 6.68423939349623e-10 1.56199658318503e-10
1.11534104e-17 0.1268 4.04707384681094e-10 6.64641135054541e-13
1.1298398e-17 0.1256 4.21232888232761e-10 -4.05104490559965e-11
1.0995662e-17 0.1248 4.29104458077921e-10 -8.43472156940334e-12
1.1591624e-17 0.122 3.7463298046374e-10 -1.17745095512526e-11
1.055352e-17 0.1304 4.58378112569255e-10 -4.81287245027153e-12
1.2110098e-17 0.1184 3.33389089914584e-10 -5.50574475115673e-11
1.1058498e-17 0.1272 4.1419027802709e-10 1.92057659191398e-11
1.146612e-17 0.1256 4.34253881660178e-10 -6.08192839876598e-11
1.1281708e-17 0.1288 4.54967378222222e-10 -3.75002106184164e-11
1.15216636e-17 0.1224 4.04811743128609e-10 -5.81959228081945e-11
1.092739e-17 0.1288 4.24900072345209e-10 -1.01876574836543e-11
1.1050776e-17 0.1272 4.2138463140757e-10 -3.13472876134885e-11
1.18646872e-17 0.1196 3.7348971085368e-10 -1.77918589630514e-11
1.088805e-17 0.1248 4.71989552087245e-10 -1.78558395381387e-11
1.2646324e-17 0.1156 2.97454333547142e-10 -3.12504654264011e-11
1.0065558e-17 0.1332 5.36516110496359e-10 -8.71200454951955e-12
1.1129026e-17 0.1232 3.50666436555969e-10 2.30637070406658e-11
1.1392722e-17 0.1256 3.82722053963552e-10 -2.15526287058912e-11
1.1878638e-17 0.1216 4.03684808755042e-10 -2.28320218787916e-11
1.190522e-17 0.122 4.03023503778327e-10 -3.6071335910177e-11
1.06294992e-17 0.1332 4.4706673316801e-10 2.46686049890848e-11
1.2211926e-17 0.116 3.33209734254153e-10 -3.41237999994714e-11
1.03931944e-17 0.1344 4.91704906672014e-10 -7.00256663290438e-12
1.0410294e-17 0.1232 5.00481159602781e-10 -7.48929202751676e-12
1.04292892e-17 0.1232 4.11372082229216e-10 5.85264562273453e-11
1.09909668e-17 0.1304 4.34486428600103e-10 3.51046182772321e-11
1.0849126e-17 0.1312 4.05572881033857e-10 -2.86538452839187e-12
1.0948054e-17 0.1232 4.53517788140953e-10 8.8580033310777e-12
1.079103e-17 0.1328 4.41541784338549e-10 2.77867955009264e-11
1.1685174e-17 0.1204 3.97646611754806e-10 -4.86624799733789e-12
1.1226082e-17 0.124 4.4825054031416e-10 -3.41601582580148e-11
1.21940144e-17 0.1188 3.47013557308677e-10 3.35932139944792e-11
1.129178e-17 0.1248 3.96141384256612e-10 1.44362665422532e-11
1.04919652e-17 0.12 4.47710836637403e-10 2.17190979677574e-11
1.172443e-17 0.1216 3.57581400175468e-10 2.52305294450204e-12
1.02723348e-17 0.1324 4.84861451282736e-10 3.77231420321944e-11
1.10751992e-17 0.1276 3.91823267640995e-10 3.33690390611189e-11
1.0064694e-17 0.126 5.14297296835905e-10 8.05585598334199e-11
1.02019904e-17 0.1348 4.72363039380693e-10 3.88607029242162e-11
1.21881948e-17 0.1188 3.51662975748371e-10 -1.31225978103923e-11
1.0814346e-17 0.1288 4.69238675272284e-10 1.6110066599636e-11
